thu_muc,file,ten_banh,gia,mo_ta
bánh Kem,1790085360703_9170768128432834209_9170768128432834209_cbbb818f99505bc9c6ca89ff52eafaa8.jpg,Bánh kem figure ông bà bóng bay Mừng Sinh Nhật,350000,
bánh Kem,1790085361536_9170768128432834209_9170768128432834209_5a96f61eebb636356f126aa56be45833.jpg,Bánh kem vẽ hình bé gái áo đỏ Các con cháu chúc,350000,
bánh Kem,1790085362446_9170768128432834209_9170768128432834209_6c00429ac79d6c77a786d3708f3755e6.jpg,Bánh kem hoa mai vàng trắng,350000,
bánh Kem,1790085365255_9170768128432834209_9170768128432834209_4397c5e6485adc3bc15388ee9fa01326.jpg,Bánh kem hoa hồng đỏ tầng diềm trắng Happy Birthday,350000,
bánh Kem,1790085368135_9170768128432834209_9170768128432834209_cf7e7f6f1fd891d130e2778ccb9cc848.jpg,Bánh kem hoa hồng đỏ lớn Happy Birthday Anh,350000,
bánh Kem,1790085368945_9170768128432834209_9170768128432834209_28e7f229db2a32c0589123c5c317ad57.jpg,Bánh kem hoa hồng trắng kem chữ Chúc Mừng,350000,
bánh Kem,1790085371650_9170768128432834209_9170768128432834209_b6a8a2305d21d76ea6474ed0c7f30117.jpg,Bánh kem trang trí xe hơi và tiền,350000,
bánh Kem,1790085372781_9170768128432834209_9170768128432834209_5931376bf25d7d4449fc082a66d57191.jpg,Bánh kem hoa xanh dương chữ Sinh Nhật,350000,
bánh Kem,1790085376104_9170768128432834209_9170768128432834209_14d5d7d8d8216e150d1ff17c26ea72f3.jpg,Bánh kem trái cây dâu việt quất,350000,
bánh Kem,1790085377800_9170768128432834209_9170768128432834209_9c0d9f5d386eb5471626736b3de0bfd1.jpg,Bánh kem chữ Will you marry me cầu hôn,350000,
bánh Kem,1790085380833_9170768128432834209_9170768128432834209_91ec446c20abe229ce20db4d3e635d5b.jpg,Bánh kem bó hoa trắng phủ giấy voan,350000,
bánh Kem,1790085385215_9170768128432834209_9170768128432834209_2673fd5e1ae996718293b499de046ba8.jpg,Bánh kem bé gái nơ hồng kèm bánh tart mini,350000,
bánh Kem,1790085385903_9170768128432834209_9170768128432834209_df7d4515e4bf6a060c6a01e05ced5030.jpg,Bánh kem hoa xanh dương pastel,350000,
bánh Kem,1790085388357_9170768128432834209_9170768128432834209_3fabc30d46ce4ddf7abe56e0b87df8f9.jpg,Bánh kem hoa quả dâu kèm bánh tart mini,350000,
bánh Kem,1790085389836_9170768128432834209_9170768128432834209_8d8f3261487e3ee04e88cbda098bd7a6.jpg,Bánh kem trái cây dâu kiwi việt quất,350000,
bánh Kem,1790085390507_9170768128432834209_9170768128432834209_201426e29c91fd8a58dd1047bb37d502.jpg,Bánh kem hoa hồng phấn phủ giấy voan,350000,
bánh Kem,1790085393996_9170768128432834209_9170768128432834209_f7c7abff55b104e2da1c25bf0ee20913.jpg,Bánh kem tart mini nhiều vị,350000,
bánh Kem,1790085394772_9170768128432834209_9170768128432834209_dfd1e8b9a0d62772aa33dce0707d3ed0.jpg,Bánh kem hoa hồng đen vẽ line đen,350000,
bánh Kem,1790085395496_9170768128432834209_9170768128432834209_8514c6d61f1b83c176e2d114cb947c3b.jpg,Bánh kem hoa hồng đen chữ Happy Birthday Em,350000,
bánh Kem,1790085396604_9170768128432834209_9170768128432834209_1ea815e040e637906a7970443094e8a6.jpg,Bánh kem tart mini trái cây và socola,350000,
bánh Kem,1790085399591_9170768128432834209_9170768128432834209_f0608b5bc49fb3f0d0673745896ee88a.jpg,Bánh kem mặt hồng pastel hoa nhỏ,350000,
bánh Kem,1790085401585_9170768128432834209_9170768128432834209_bbc2a7c87877f1ab11137da016ace553.jpg,Bánh kem hoa cúc trắng xanh chữ Happy Birthday,350000,
bánh Kem,1790085404897_9170768128432834209_9170768128432834209_3cf17730632ecc8cd7aebec3917e8db5.jpg,Bánh kem trái cây xanh vàng,350000,
bánh Kem,1790085406820_9170768128432834209_9170768128432834209_34f672feb54c90854eb701f60013ca17.jpg,Bánh kem hoa hồng phấn tầng diềm trắng,350000,
bánh Kem,1790085413306_9170768128432834209_9170768128432834209_bf6cc815b978a377927826cd4c524308.jpg,Bánh kem hoa hồng phấn bọc voan trắng,350000,
bánh Kem,1790085416666_9170768128432834209_9170768128432834209_40efefb2e467232a4bd830ba7e8e6277.jpg,Bánh kem kem hồng viền socola đen,350000,
bánh Kem,1790085418577_9170768128432834209_9170768128432834209_c6d7a7064c66675e48963f582baa6169.jpg,Bánh kem hoa hồng phấn chữ Happy Teacher's Day,350000,
bánh Kem,1790085422693_9170768128432834209_9170768128432834209_c9253e2a879cd209fed40a782b067221.jpg,Bánh kem hoa hồng phấn chữ Happy Birthday nền xanh,350000,
bánh Kem,1790085424415_9170768128432834209_9170768128432834209_63c51390925e7b25d010d12ad27814df.jpg,Bánh kem bóng đá bé trai HAPPY BIRTHDAY,350000,
bánh Kem,1790085428467_9170768128432834209_9170768128432834209_e3734e9247d74b27f4cf025b55dfc744.jpg,Bánh kem hình con thú màu xám,350000,
bánh Kem,1790085430122_9170768128432834209_9170768128432834209_c9a8aa07e4668062e9b5a619423bf8b5.jpg,Bánh kem hoa hồng phấn chữ Happy Birthday nền trắng,350000,
bánh Kem,1790085434785_9170768128432834209_9170768128432834209_11afbb7620d05ee469460ef36fb225d5.jpg,Bánh kem chấm bi trắng đen hoa nhỏ,350000,
bánh Kem,1790085436024_9170768128432834209_9170768128432834209_dd33575f1fcf2389229d1a2d94e22d21.jpg,Bánh kem hoa vàng phủ giấy voan,350000,
bánh Kem,1790085441246_9170768128432834209_9170768128432834209_c45ab9373143731d6f28413ec6a5844e.jpg,Bánh kem 2 tầng hoa hồng phấn,350000,
bánh Kem,1790085442523_9170768128432834209_9170768128432834209_670da926164a20c95efd53bf70644c21.jpg,Bánh kem hoa hồng kem cuộn tròn,350000,
bánh Kem,1790085458684_9170768128432834209_9170768128432834209_6bb216205a5f3b3f201b7f48ef4fe3a0.jpg,Bánh kem hình con ếch xanh,350000,
bánh Kem,1790085463953_9170768128432834209_9170768128432834209_efbf8569ca4f187ff6651e3cec56a444.jpg,Bánh kem hoa hồng phấn nơ trắng,350000,
bánh Kem,banh_kem_1.jpg,Bánh kem hoa hồng phấn kèm bánh tart mini,350000,
bánh Kem,banh_kem_2.jpg,Bánh kem bé gái công chúa nơ hồng,350000,
bánh Âu,1790085051276_9170768128432834209_9170768128432834209_0036bc385c12b448b6dc27b6818df0d4.jpg,Bánh mousse chanh dây trái cây tươi,120000,
bánh Âu,1790085319123_9170768128432834209_9170768128432834209_e789b255f480d8e54500b0b0f5dca076.jpg,Bánh kem chữ Chúc Mừng Sinh Nhật Nhân,120000,
bánh Âu,1790085319682_9170768128432834209_9170768128432834209_2313ea65f851bb1a2c09bba94c847558.jpg,Bánh kem phủ sợi vàng chữ Happy Birthday,120000,
bánh Âu,1790085320074_9170768128432834209_9170768128432834209_1eaa089779fa92ba4362bb03f1134d96.jpg,Bánh kem cuộn socola trắng,120000,
bánh Âu,1790085322206_9170768128432834209_9170768128432834209_a34209d897104418597cff7687886e68.jpg,Bánh kem sợi vàng chữ Chúc Mừng Sinh Nhật,120000,
bánh Âu,1790085322821_9170768128432834209_9170768128432834209_a70c203ea179404b8374c8622e8d7fe6.jpg,Bánh kem socola viên tròn,120000,
bánh Âu,1790085324737_9170768128432834209_9170768128432834209_e1c585370a77f463ce61f092983162d4.jpg,Bánh kem chanh dây chữ Chúc Mừng Sinh Nhật,120000,
bánh Âu,1790085333854_9170768128432834209_9170768128432834209_d96a98ecf0b077a766c9ee584533a7fa.jpg,Bánh mousse chanh dây trái cây nền gỗ,120000,
bánh Âu,1790085334231_9170768128432834209_9170768128432834209_813de02326bb2aca55114bbe81d31687.jpg,Bánh mousse chanh dây kiwi dâu,120000,
bánh Âu,1790085335178_9170768128432834209_9170768128432834209_1eb8e687e0683df819191adcf2630194.jpg,Bánh kem dừa sợi chữ Happy Birthday,120000,
bánh Âu,1790085336887_9170768128432834209_9170768128432834209_4d974ca04a75cc6a64738892e91cd2c0.jpg,Bánh mousse chanh dây dâu việt quất,120000,
bánh Âu,1790085367845_9170768128432834209_9170768128432834209_c0d7345d821e708a409fec4ca38617b7.jpg,Bánh kem chanh dây chữ Happy Birthday,120000,
bánh Âu,1790085370496_9170768128432834209_9170768128432834209_179e2b8f9fba3e1e041c0c838dac9940.jpg,Bánh kem trái cây dừa sợi,120000,
bánh Âu,1790085375063_9170768128432834209_9170768128432834209_d186df26c72aecf3b1d4bbab68838714.jpg,Bánh kem hình trái tim chữ Happy Birthday,120000,
bánh Âu,1790085378312_9170768128432834209_9170768128432834209_ba1a7dad5a2c9f0eb34ca362e7507e9d.jpg,Bánh kem trái tim figure ông bà,120000,
bánh Âu,1790085379505_9170768128432834209_9170768128432834209_880bf5025630ea301c0cdaec75af46b9.jpg,Bánh kem chanh dây hoa quả,120000,
bánh Âu,1790085384724_9170768128432834209_9170768128432834209_ed8de6877e523a7f605387286f147d8d.jpg,Bánh tart mini nhiều vị phủ kem,120000,
bánh Âu,1790085386984_9170768128432834209_9170768128432834209_3a141fc5dc8e8de9906daac37131cd0e.jpg,Bánh kem chanh dây socola dâu,120000,
bánh Âu,1790085402878_9170768128432834209_9170768128432834209_0939a8dccdc3ba3729b7ba78258228c8.jpg,Bánh tart mini trái cây dâu xanh,120000,
bánh Âu,1790085409184_9170768128432834209_9170768128432834209_cf1814fe42c3ec44fe28076eb797cb3f.jpg,Bánh tart mini socola trái cây,120000,
bánh Âu,1790085410803_9170768128432834209_9170768128432834209_c440e9198210b4044f4ac88a90ff4dcc.jpg,Bánh kem xanh lá trái cây tươi,120000,
bánh Âu,1790085415274_9170768128432834209_9170768128432834209_d5fcb7406f9989a81292012b2ea825a0.jpg,Bánh tart mini dâu việt quất,120000,
bánh Âu,1790085420348_9170768128432834209_9170768128432834209_d51440e8d3432e059b01827aa7263052.jpg,Bánh tart mini phủ kem trắng,120000,
bánh Âu,1790085426045_9170768128432834209_9170768128432834209_856453924fbc39b3a98a20db455d4849.jpg,Bánh tart mini socola dâu,120000,
bánh Âu,1790085433770_9170768128432834209_9170768128432834209_851c711db3f1f6cad979e1acd4eac163.jpg,Bánh tart mini nhiều màu,120000,
bánh Âu,1790085445009_9170768128432834209_9170768128432834209_29cc24294bbadd644dcba2375f060a92.jpg,Bánh tart mini hồng phủ kem,120000,
bánh Âu,1790085452811_9170768128432834209_9170768128432834209_36437794812d2abe8347416c057cb9ed.jpg,Bánh tart mini trái cây hỗn hợp,120000,
bánh Âu,1790085463148_9170768128432834209_9170768128432834209_e5a659824a49f69d176d9f83705e6d2f.jpg,Bánh kem trái cây kèm tart mini,120000,
bánh Âu,1790085473040_9170768128432834209_9170768128432834209_3c9977f20b427d6f6396ac475f2f7e02.jpg,Bánh tart mini kem xanh lá,120000,
bánh Âu,1790085474277_9170768128432834209_9170768128432834209_28029c968593aecc9e147370d7ab4154.jpg,Bánh tart mini kem hồng chữ Chúc Mừng,120000,
bánh Âu,1790085478700_9170768128432834209_9170768128432834209_52b2d09a1c8b237c735c5fbf4981f0b8.jpg,Bánh kem dừa sợi kèm tart mini,120000,
bánh Âu,1790085488995_9170768128432834209_9170768128432834209_156df8b761f8fe4658558fd262b1bb9d.jpg,Bánh tart mini kem xanh chanh,120000,
bánh Âu,1790085507106_9170768128432834209_9170768128432834209_12f8bdb5c15f171310d9529756b90d70.jpg,Bánh tart mini dâu phủ kem hồng,120000,
bánh Âu,812342740_1459051262699371_627224874816564290_n.jpg,Bánh tart mini kiwi việt quất,120000,
bánh Âu,812816986_1603182521246197_5324964205890609163_n.jpg,Bánh mousse trái cây trong hộp,120000,
bánh Âu,813020280_1810958170359160_1948103289355582143_n.jpg,Bánh mousse chanh dây trái cây nền trắng,120000,
bánh Âu,813841514_1038674925660006_4399380067985218115_n.jpg,Bánh kem trái cây chữ Happy Birthday,120000,
bánh Âu,813975681_2287630455331359_1482426507034450058_n.jpg,Bánh kem xanh lá trái cây dừa,120000,
bánh Âu,814827939_1428513915837435_7064280634263242135_n.jpg,Bánh kem trái cây tươi nơ trắng,120000,
bánh Âu,815156007_1772541194181215_7306558220914899311_n.jpg,Bánh mousse chanh dây trái cây nền ghế trắng,120000,
bánh Âu,817059164_1967262553958196_8610749664310039641_n.jpg,Bánh kem trái cây dâu xanh,120000,
bánh Âu,817117386_2152035529530047_8258186908601271818_n.jpg,Bánh kem hoa kem nhiều màu,120000,
bánh Âu,820335384_2163091264625325_479116487301035077_n.jpg,Bánh tart trái cây 4 ô vuông,120000,
