ten_banh,nhom,gia_de_xuat,dac_diem_cong_them
Bánh kem 2 tầng hoa hồng phấn,bánh Kem,690000,"2 tầng +250,000; hoa hồng +80,000"
Bánh kem hoa hồng kem cuộn tròn,bánh Kem,450000,"hoa hồng +80,000; cuộn +30,000"
Bánh kem hình con ếch xanh,bánh Kem,470000,"hình con +120,000"
Bánh kem hoa hồng phấn nơ trắng,bánh Kem,450000,"hoa hồng +80,000; nơ +30,000"
Bánh kem hoa hồng phấn kèm bánh tart mini,bánh Kem,450000,"hoa hồng +80,000; tart +20,000"
Bánh kem bé gái công chúa nơ hồng,bánh Kem,490000,"công chúa +100,000; nơ +30,000"
Bánh mousse chanh dây trái cây tươi,bánh Âu,270000,"trái cây +80,000; mousse +40,000"
Bánh kem chữ Chúc Mừng Sinh Nhật Nhân,bánh Âu,170000,"chữ +20,000"
Bánh kem phủ sợi vàng chữ Happy Birthday,bánh Âu,170000,"chữ +20,000"
Bánh kem cuộn socola trắng,bánh Âu,199000,"socola +40,000"
Bánh kem sợi vàng chữ Chúc Mừng Sinh Nhật,bánh Âu,170000,"chữ +20,000"
Bánh kem socola viên tròn,bánh Âu,199000,"socola +40,000"
Bánh kem chanh dây chữ Chúc Mừng Sinh Nhật,bánh Âu,220000,"chanh dây +50,000; chữ +20,000"
Bánh mousse chanh dây trái cây nền gỗ,bánh Âu,270000,"trái cây +80,000; mousse +40,000"
Bánh mousse chanh dây kiwi dâu,bánh Âu,250000,"dâu +50,000; mousse +40,000"
Bánh kem dừa sợi chữ Happy Birthday,bánh Âu,200000,"dừa +30,000; chữ +20,000"
Bánh mousse chanh dây dâu việt quất,bánh Âu,250000,"dâu +50,000; mousse +40,000"
Bánh kem chanh dây chữ Happy Birthday,bánh Âu,220000,"chanh dây +50,000; chữ +20,000"
Bánh kem trái cây dừa sợi,bánh Âu,250000,"trái cây +80,000; dừa +30,000"
Bánh kem hình trái tim chữ Happy Birthday,bánh Âu,170000,"chữ +20,000"
Bánh kem trái tim figure ông bà,bánh Âu,300000,"figure +150,000"
Bánh kem chanh dây hoa quả,bánh Âu,250000,"hoa +60,000; chanh dây +50,000"
Bánh tart mini nhiều vị phủ kem,bánh Âu,170000,"tart +20,000"
Bánh kem chanh dây socola dâu,bánh Âu,250000,"dâu +50,000; socola +40,000"
Bánh tart mini trái cây dâu xanh,bánh Âu,250000,"trái cây +80,000; tart +20,000"
Bánh tart mini socola trái cây,bánh Âu,299000,"trái cây +80,000; socola +40,000; tart +20,000"
Bánh kem xanh lá trái cây tươi,bánh Âu,230000,"trái cây +80,000"
Bánh tart mini dâu việt quất,bánh Âu,220000,"dâu +50,000; tart +20,000"
Bánh tart mini phủ kem trắng,bánh Âu,170000,"tart +20,000"
Bánh tart mini socola dâu,bánh Âu,250000,"dâu +50,000; socola +40,000; tart +20,000"
Bánh tart mini nhiều màu,bánh Âu,170000,"tart +20,000"
Bánh tart mini hồng phủ kem,bánh Âu,170000,"tart +20,000"
Bánh tart mini trái cây hỗn hợp,bánh Âu,250000,"trái cây +80,000; tart +20,000"
Bánh kem trái cây kèm tart mini,bánh Âu,250000,"trái cây +80,000; tart +20,000"
Bánh tart mini kem xanh lá,bánh Âu,170000,"tart +20,000"
Bánh tart mini kem hồng chữ Chúc Mừng,bánh Âu,199000,"chữ +20,000; tart +20,000"
Bánh kem dừa sợi kèm tart mini,bánh Âu,200000,"dừa +30,000; tart +20,000"
Bánh tart mini kem xanh chanh,bánh Âu,170000,"tart +20,000"
Bánh tart mini dâu phủ kem hồng,bánh Âu,220000,"dâu +50,000; tart +20,000"
Bánh tart mini kiwi việt quất,bánh Âu,220000,"kiwi +50,000; tart +20,000"
Bánh mousse trái cây trong hộp,bánh Âu,270000,"trái cây +80,000; mousse +40,000"
Bánh mousse chanh dây trái cây nền trắng,bánh Âu,270000,"trái cây +80,000; mousse +40,000"
Bánh kem trái cây chữ Happy Birthday,bánh Âu,250000,"trái cây +80,000; chữ +20,000"
Bánh kem xanh lá trái cây dừa,bánh Âu,250000,"trái cây +80,000; dừa +30,000"
Bánh kem trái cây tươi nơ trắng,bánh Âu,250000,"trái cây +80,000; nơ +30,000"
Bánh mousse chanh dây trái cây nền ghế trắng,bánh Âu,270000,"trái cây +80,000; mousse +40,000"
Bánh kem trái cây dâu xanh,bánh Âu,230000,"trái cây +80,000"
Bánh kem hoa kem nhiều màu,bánh Âu,200000,"hoa kem +60,000"
Bánh tart trái cây 4 ô vuông,bánh Âu,250000,"trái cây +80,000; tart +20,000"
